,user_name,user_type,user_msg,user_msg_count,forum_type
143,ADHDcDude,Active member,"HI there, sorry to hear about your meds troubles. I myself was diagnosed very late in life ""41"" and it took going to prison before someone noticed. Once the prison diagnosed me and started me on Concerta, within 2 weeks the change was unbelievable, for the best may i add. When i was released from prison the dr would not perscribe me and adhd medication and it took 2 years to get an assessment with the Adult ADHD Services. I found them very friendly and helpful and within 2 days i had my Concerta back. I am still taking them daily at 72mg and probably will need to for the rest of my life but they really are the wonder drug for me personally.

I also suffer from extreme anxiety, which is heightened by the Concerta, but this is a small price to pay to have my head unjumbled.",32,ADHD_Forum
144,Vrachox,New member,"What is best antidepressant to combine with concerta?
Tnx",1,ADHD_Forum
145,woman,Well-known member,"Antidepressants aren't like strains of weed or psychedelics, there's no medication that's made to be combined (or not) with concerts. It won't enhance or detract from the experience.",73,ADHD_Forum
146,Odids,Member,My doctor prescribed cipralex along with concerta and it's working well for me.,5,ADHD_Forum
147,Dying gal,New member,I cannot stand the frequent meltdowns from my ADHD and ODD child. I think I am under depression now. Eating non stop everyday. I put on 3kg within 2 mths. Since I am unable to solve the ADHD n ODD child problem. Let me solve the me growing fat problem by ending my life to end putting in weight now.,1,ADHD_Forum
148,QueenFan,Well-known member,Sorry you are having a tough time @Dying gal here.,"3,279",ADHD_Forum
149,Odids,Member,"Hi, I'm new to the forum and I was diagnosed with ADHD two years ago when i was 42. I have struggled with inattention, impatience, forgetfulness and lots more that I won't go into right now. But my question is, I seem to be unable to make any romantic relationship work beyond six months. I have the same pattern, meet someone, get very excited, hyperfocus on them, fall in love, commit to them, then I get bored and within six months or less I leave. I have ruined multiple great relationships and hurt so many people who deserved better and I hate myself. Anybody else gone through this or am I just a monster?",5,ADHD_Forum
150,Ampleforth,Well-known member,"Hey @Odids welcome to the forum. First of all you're not a monster. A monster would do it maliciously, intending to harm. I don't see that, only contrition. If I may ask, is the ADHD under control or does it come and go?","1,140",ADHD_Forum
151,Odids,Member,It comes and goes. Some days are better than others. I often struggle with impulsivity.,5,ADHD_Forum
152,Ampleforth,Well-known member,"I have a different diagnosis that brings impulsivity with it as an extra bonus. The things I've ruined with outbursts, well it's a long list. I wonder if adjusting your meds might help keep the relief more consistent?","1,140",ADHD_Forum
153,Odids,Member,Well I have a review at the end of the month with my psychiatrist I'll be sure to ask him. Does anything help with your impulsivity?,5,ADHD_Forum
154,Ampleforth,Well-known member,@Odids I take lamotrigine as a mood stabilizer. I think that's the most important one. It slows down the impulses long enough to allow me to check myself and act appropriately. I also take a benzo for anxiety which keeps the irritation to a minimum. Irritation is a trigger for me and also a symptom. It's very important for me to manage. I also take an antipsychotic because when I do snap it can be ugly and dangerous for me. I wish you the best in your search for the right combination.,"1,140",ADHD_Forum
155,Odids,Member,Thank you for your advice.,5,ADHD_Forum
156,Englishman50inMadrid,Member,"Does it sound dramatic? Yeah, maybe.

Remember that movie ""Predator"" when the nasty alien has a device that helps him blend in the the background? It's like an expensive camoflage suit. Well, this is the way I feel in public when I act... normal.

It's a struggle to act normal as I tend to just start doing whatever comes into my head. For example, I might be in the supermarket and the urge to practice my kung-fu form pops into my head, or I might start doing a stretching exercise or something... So in my head I go ""Wait a minute. Part of the reason for your social isolation is just this; acting weird in public. So, knock it off"". I then activate my predator armour and try to walk the walk of the neurotypical. I'm standing normally in line, I'm talking to myself in my head rather than mumbling (I'm a mumbler), and I'm ""blending in""

Now I don't really know if this is a good or a bad thing. Am I ableist? I thiink I probably am because I want to behave like a neurotypical in social situations.

It does help me to be more self aware (and thus is backed my mindfulness exercises) and to feel less like an alien.",8,ADHD_Forum
157,Orangeade,Well-known member,"@Englishman50inMadrid i feel that way. I have to put a ‘mask’ on when i go out. To be this happy and laughing person. When i get home, i take it home and just sit in silence like i like it lol","2,832",ADHD_Forum
158,RenHoek,New member,"Hi,

My son was diagnosed with ADHD when he was 16 after his CAMHS counsellor spotted symptoms. He's now 17 and we've just recently started on the medication path. He started a couple of months ago on Medikinet XL (Methylphenidate) 10mg, and after a month or so moved up to 20mg.

He says he hasn't noticed a difference but we've noticed that since he moved up to 20mg he has become increasingly irritable, short-tempered and just cannot stop talking. He's always been a little bit that way, but this is another level.

Is this normal and/or part of the process? Unfortunately, noticing this change in him followed our progress call with his consultant who has recommended an increase to 30mg, and he's now on holiday for 2 weeks so isn't available for us to contact.

Might the move to 30mg get us past this point?

Thanks.",1,ADHD_Forum
159,BYPPills,Active member,"@RenHoek those meds can cause aggression or make someone agitated. Going up in dose can make it worse.

Communicate with his doctor.",27,ADHD_Forum
160,stevie_sloth,Well-known member,"Ugh, Methylphenidate made me a horrible, tired and apathetic zombie. I don't even think I have ADHD, but either way, this med did NOT work for me.

As far as the increased dose and resultant irritability, that's very common. The excessive talking and short temper hint to me that he's too ""hyper"" and his current dose is too high. They say once you feel like you've had too much coffee, reduce your dose.

Sometimes it can be hard to find the right dose of stimulant meds, but also sometimes any dose can cause agitation and irritability. There are other med options though...hopefully one of them might be better.","6,594",ADHD_Forum
161,ADDlad66,Previously AnxietyLad66,"Ritalin is like cask wine compared to Dextroamphetamine honestly, I can only share my personal experiences, but Ritalin seems to affect more than just Dopamine for me whereas Dex is super pure and direct.",126,ADHD_Forum
162,Zar816,New member,"Hey, so it’s been years and I never posted about this. I have ADHD and anxiety issues and more. But, my question is does any one else here have the problem when they work, they feel like time is going extremely slow, they feel out of control, they feel uncomfortable, it’s hard to focus and concentrate. I can probably keep going. When I was younger like 18-22 I was able to keep a job better then before. I could have work a few shifts then quit not I can’t even work a job for two hours with out all these symptoms going on.


Also, does any one have the issues that if they don’t have access to there phone they feel extremely uncomfortable and anxious. Like I think that’s another reason I can’t work because I don’t have my phone, because I do Uber eats walking and I feel in control because I have my phone with me the whole time and I can call people, listen to music, watch YouTube ect when I’m waiting. Unlike at a job I have no control and if I’m bored I’m bored.",1,ADHD_Forum
163,Sawtooth,Well-known member,@Zar816 I know the feeling of time dragging on at work. You are right its basically boredom. Time flies when you're having fun.,76,ADHD_Forum
164,Nathan19771977,New member,"Hi everyone. I’m 45 and I’ve recently been diagnosed with adult adhd. I’ve been put in elvanse 20mg upping to 40mg then 60mg.I’ve read lots of reviews about how people have started on this and within an hour they’re feeling amazing and everything is great. I’ve been on this for a week now and I’m a little confused about the medication if I’m honest. I get a come up, I then feel extremely sketchy for the rest of the day, then a come down. At this moment, 7 days in, I just feel like I’m getting up, having a line of speed, coming down and sleeping. It’s not been a nice experience as of yet. I’m due to up my medication to 40mg tomorrow am I’m slightly nervous about it. Can anyone tell me anything about their experience on elvanse to give me confidence that this is normal and I will eventually get good effects from it? Like I say most people report almost instant results but in my experience it’s hindering my day if anything. Did anyone else have this experience and did you eventually get to where you wanted once the dose was increased? Thank you.",3,ADHD_Forum
165,whitebreadlog,Well-known member,"Hey Nathan! 🙂 Welcome to the forum!

Starting to take a new medication often comes with an adjustment period for your body to get used to. It is possible that the symptoms you are experiencing are the side effects of the medication you are taking, especially if you are increasing the dose. In my experience with Duloxetine (SNRI), it took me a few weeks to overcome the side effects of tiredness and feeling on edge. I had to adjust again when the doctor increased my dose. If you feel unconfortable about increasing the dose so soon, perhaps you could discuss this with your doctor?

Medication can have very different effects on different people. Our bodies are complex organic machines and there is no one size fits all solution. It is too early to say for certain but it is possible that Elvanse just isn't suitable for you. Again, you doctor can advise you on this if you feel like it doesn't help, probably after a couple month trial period.

Sorry I have no experience to offer on Elvanse specifically!

Take care. ❤️",98,ADHD_Forum
166,Nathan19771977,New member,Thank you so much for your reply. Yes I’m on a 5 week trial with an increase for the first 2 weeks. I’m happy to up the dose as I’ve seen a few reviews say they were bad until the dose was upped then they were great.,3,ADHD_Forum
167,Fairy Lucretia,Well-known member,"welcome here
Lu x","47,455",ADHD_Forum
168,BYPPills,Active member,"@Nathan19771977 HI. So what you're feeling makes sense. The drug you're taking is an amphetamine. Everything you explained are classic effects of an amphetamine. Adderall, Vyvanse, meth, Concerta, Ritalin. These are all amphetamines. You can feel anxiety, loss of appetite, psychosis, euphoria, jitteriness, increased blood pressure, increased risk of cardiovascular events, insomnia.. You can get addicted. Experience withdrawal. Craziest part is amphetamines were invented to keep the Germans and later the British awake during ww2 to fight all day long. No doctor will ever tell you that.

With the scary stuff aside, these drugs do work. You might need to experiment with using a capsule and a hard tablet. Capsules will start to work slowly and the effects will rise throughout the day, lasting a long time. Tablets will work fast and the effects will be intense for a short time.

Tell your doctor side effects. Tell your doctor when the medication works and when it wears off. You probably might be taken off that amphetamine and switched to a different one that might suit your needs better. Or have dose changes.

Be safe. Know what you're taking. Ask questions.",27,ADHD_Forum
169,Nathan19771977,New member,@BYPPills thank you for the info. Ye I was a big drug taker in the past and I know all the felling you get from amphetamine so I’m aware of how it effects you and how you can have highs and lows with it. Just seems a bit hard to get my head around that amphetamine will help me in any way in this situation. I get High from it then come down. I don’t want to get high though. I want peace of mind and some relaxation from my adhd and being high will not achieve this in my opinion. I’m due to up the dose tomorrow and I’m told sometimes a higher dose really works even if the lesser dose makes you feel bad. Time will tell. Thank you for your comments I really appreciate it 👍,3,ADHD_Forum
170,Leggyane,Well-known member,Welcome to the forum x,"1,951",ADHD_Forum
171,Blue Monday,Well-known member,"I have ADHD and today I thought of something that would make for a funny meme, but I'm not good with computer design. I'm guessing others with ADHD will identify with it:

""I have ADHD. Instead of half-assing things, I whole-ass things halfway.""",266,ADHD_Forum
172,kyleb,Well-known member,I think you’re overthinking it. Many people don’t give this a lot of thought they just fire these people,83,ADHD_Forum
173,CheDollar,New member,"I have some traits that have made me start to think i might have ADHD or maybe some other neurological diagnosis. I wanted to get some advice from someone more knowledgeable on the subject so I thought maybe a post here could work. Please disregard or delete this if Im in the wrong place.

To start of, I would say I have gone by very well in life, I have a good job, a wife and two kids, but there is always that feeling in the back of my head that tells me Im wired abit difference. Things like chosing to be alone if I can. Instead of spending time with friends and family. I have 4 close friends, but feel no need to hang out or meet them at all. We mostly talk online. Going to social events make me uncomfortable. I would rather work or be home, than go to a party as an example.

Looking people in the eyes is a problem for me. By default I will just focus on peoples forhead. Ive also been told I might come of as rude or blunt when i speak. In my mind I havent said anything wrong though, but I often get comments like ""You did not really say it like that, did you?"". My wife calls me ""cold and feelingless"", because I lack empathy for people. Watching movies or reading news etc dosent affect my emotions like other people. Seeing my own children hurt themselves or cry feels annoying and can oftentimes irritate me. I havent cried or felt sad since forever it feels, last time must have been early childhood. Expressing or talking about feelings is not something I know how to do properly.

Im a restless fidgety guy. If Im not occupied with doing something my legs will often move or I will fidget with keys,pens etc. I bite my nails and even the skin on my fingers. This worsen if Im stressed. When Im in bed for the night I rub my feet togheter until I fall asleep, something I have done for as long as I remember. I hardly ever dream and I can’t conjure images in my mind. Picturing things or people is not possible, all I see is black. Im color blind aswell, but I dont know if thats related to anything neurological.

Im a chronic overthinker and overanalyze every bit of information Im presented with. Sending emails or messages at work about seemingly easy subjects might require rewriting said email or message 10-15times before I think its done properly. Sometimes I feel paranoid, like Im being watched, this comes and goes and isent present all the time. I hear sounds and smell things other dont at times.

These are some observations about myself, not sure where Im going with this. Maybe just seeking some advice about what to do. Should I talk to someone about this? I live a fairly normal life, but some of these traits lead to alot of confusion,misunderstandings and relationship issues.",1,ADHD_Forum
174,MissTT85,Well-known member,"@CheDollar Hey, some of the things you have pointed out sound like some traits of Autism. My daughter has this is not severe but she likes been alone although she does have friends but becomes overwhelmed- she avoids stimulation. She sometimes makes eye contact and avoids loud noises it gets her very angry and annoyed especially her baby brother crying.
Some of the traits you explained I have too like rubbing my feet together I though that was to comfort myself.

I would share this with friends and family to see if there are things they have noticed too",346,ADHD_Forum
175,Pennybrite,Well-known member,"I would share get a therapist opinion. Could be autism but could be other things as well. Either way, I would get it checked out. Not having empathy is something crucial.",629,ADHD_Forum
176,ramboghettouk,Well-known member,"i guess this neurodivergence business makes a change from schitzoprenia ain't that two personalitys, doesn't change womens attitude really

it is strange seeing these hollywood types going on about autism etc when you've spent your adult life with a very stigmatising illness","19,281",ADHD_Forum
177,XxWinterpawxX,Member,@CheDollar It never hurts to see a professional ever. I'd suggest keeping a journal/notes on observations like this alongside recording how ur sleep is because information like that usually helps.,14,ADHD_Forum
178,DayBird,Active member,"Every day I completely lose track of what I'm talking about and have to retrace my steps for about at least a minute to get back on track. I have in mind what I'm talking about but once I think about something else, I completely forget where I was. I can only focus on one thing at a time. My attention span is horrible! This is why I can't multitask!",32,ADHD_Forum
179,C50,Well-known member,"I never loose track of my own words because I speak consiecly and keep things short. I do lose track of what others are saying because they use way too many words and my mind drifts off.

Either way makes conversations a bit difficult. I wish you well.",354,ADHD_Forum
180,DayBird,Active member,@C50 thanks for the comment! I wish you well too.,32,ADHD_Forum
181,stevie_sloth,Well-known member,"DayBird said:
Every day I completely lose track of what I'm talking about and have to retrace my steps for about at least a minute to get back on track. I have in mind what I'm talking about but once I think about something else, I completely forget where I was. I can only focus on one thing at a time. My attention span is horrible! This is why I can't multitask!
Yep! Only in the last few years has this started happening a lot (I'm 43), but if I'm talking and anything at all interrupts my train of thought (other people, a bird, a loud noise, etc), I'll completely lose what I was saying. It literally feels like it just dissolved into thin air.

I notice it's particularly prevalent when I'm just about to switch from one topic to another. The interruption comes, and I have no ""prompt"" to remind me of the new / related topic I was going to talk about next. Sometimes I have literally only remembered a WEEK later!!! And technically, I'm not actually even remembering it. I'm just being re-prompted by whatever it was that caused me to want to talk about it in the first place.

Ugh.","6,594",ADHD_Forum
182,SFGuy,Well-known member,"@DayBird
I do that. My short term memory seems to be the problem: Sometimes I can't remember what I just said, thought, or did. Especially when I'm pressured or on deadline.

And I just don't multitask. That always fails and makes me feel overwhelmed, anxious, stupid, and bummed. Then my brain gets racy or numb for a while.

I'm older, so I can get away with these deficits better than I could when I was in school.

In high school and uni, my ability to hyperfocus got me through. I made achievement important, so I could hyperfocus on school, get superior grades, and create a reputation as an eccentric genius. I'm not stupid, but I'm not that smart. My secret hyperfocus power has faded as I've gotten older.

I took Dexedrine for a couple years, but the jitters prevented me from getting the dose very high. I switched to Ritalin about 3 months ago and I can go much higher. It's helping a lot, but not as much as I would like.",554,ADHD_Forum
183,stevie_sloth,Well-known member,"I just read an article that said to be diagnosed with ADHD, a psychiatrist should do an in depth assessment of your other mental disorders or issues and lifestyle / medication issues to rule out other causes of the symptoms, as well as a thorough analysis of your childhood, as to be diagnosed with ADHD, a lifelong neurodivergence, you MUST have exhibited symptoms before age 12.

Ok, so a psychiatrist I saw only once, in 2019, diagnosed me as having JUST ADHD (none of the other things I have, being depression, anxiety, OCD, BPD and CPTSD) after 45 minutes, and when I questioned why I'd had no signs of this as a child, teenager or in fact up to even 3 years prior, he said (with no evidence, school reports, uni notes, work records, etc) that I would have had it, but since I was ""highly intelligent"" I would have developed methods to overcome or work around any problems.

Then he prescribed a million repeats of Ritalin, said it would solve ALL my problems, and sent me on my way.

The Ritalin solved nothing, made me feel EVEN MORE depressed, bored, apathetic, unable to focus and think, and worsened my anhedonia. It was the worst medication I've ever taken, and I was completely dysfunctional on it.

HOW IS THIS OK!?","6,594",ADHD_Forum
184,Just Surviving,Well-known member,"I'm sorry to hear that you weren't diagnosed with your condition earlier in life. I have social anxiety rather than ADHD, and I didn't get diagnosed until I was 19. The thing is that it was down to me and my family to deliberately get me checked out for mental health issues and to see a psychologist. I don't think anybody else thought that there was anything out of the ordinary. It was obvious that I felt anxious a lot, but I was with it and responsive to people, putting on a brave face, and plenty of people have said that I ""mask it well"".

Strangely, I've been a good influence on people I've encountered with ADHD. One of my cousins has it. When he was 8, I was 18, and other family members couldn't deal with him a lot of the time, I'd be looking after him. He'd throw stuff, start fighting people (nothing vicious, but still inappropriate), he'd say dodgy things from time to time. With me he just seemed more at ease, more content. He'd still be a bit out of control, but I had a positive effect on him. These days with medication and as an adult he's calmed down a lot. It's disappointing that your medication seems to have a negative affect on you. I never liked medication that I had to take. It made me tired and boring.",607,ADHD_Forum
185,stevie_sloth,Well-known member,"Just Surviving said:
I'm sorry to hear that you weren't diagnosed with your condition earlier in life. I have social anxiety rather than ADHD, and I didn't get diagnosed until I was 19. The thing is that it was down to me and my family to deliberately get me checked out for mental health issues and to see a psychologist. I don't think anybody else thought that there was anything out of the ordinary. It was obvious that I felt anxious a lot, but I was with it and responsive to people, putting on a brave face, and plenty of people have said that I ""mask it well"".

Strangely, I've been a good influence on people I've encountered with ADHD. One of my cousins has it. When he was 8, I was 18, and other family members couldn't deal with him a lot of the time, I'd be looking after him. He'd throw stuff, start fighting people (nothing vicious, but still inappropriate), he'd say dodgy things from time to time. With me he just seemed more at ease, more content. He'd still be a bit out of control, but I had a positive effect on him. These days with medication and as an adult he's calmed down a lot. It's disappointing that your medication seems to have a negative affect on you. I never liked medication that I had to take. It made me tired and boring.
Click to expand...
Well, that's the thing. I don't think I even HAVE ADHD. That ""diagnosis"" was completely inadequate. I've simply never exhibited any signs of ADHD at all until about 5 years ago now. I assign that to 5 years of daily benzo use, 4 decades of chronic, constant anxiety, huge apathy, depression and anhedonia which tends to make me incredibly bored (so I don't pay attention to much as nothing interests me or brings me pleasure) and irritability (because I'm so unhappy). I've always been impatient but I have no issue being polite and conforming to social mores, etc.

I actually used to have a partly eidetic / photographic memory, and was very sharp-minded.","6,594",ADHD_Forum
186,Just Surviving,Well-known member,"@stevie_sloth That's really interesting. I always had a fear that if I took anxiety medication for a sustained period of time, that it would be unhealthy. In fact I read this recently: I’m a psychologist – and I believe we’ve been told devastating lies about mental health | Sanah Ahsan

""recent research concluded that depression is not caused by a chemical imbalance of the brain.""

I also think that (not pointing a finger at you personally) social media has made people have a short attention span. People are always checking their phones, posting short and quick responses all the time. There is a lack of depth to conversations. Perhaps that is causing people to be diagnosed with issues that they wouldn't have had if they didn't use that tech so much. Things like this back up my thoughts: Replacing social media use with this healthy habit will boost your mental health",607,ADHD_Forum
187,AlwaysinCrown,Well-known member,"Yes, I was diagnosed with Asperger Syndrome when I was 28. I've always been strange person. Moreover my symptoms are much stronger due to epilepsy. So my behavior is going more and more crazy.","6,454",ADHD_Forum
188,stevie_sloth,Well-known member,"Just Surviving said:
@stevie_sloth That's really interesting. I always had a fear that if I took anxiety medication for a sustained period of time, that it would be unhealthy. In fact I read this recently: I’m a psychologist – and I believe we’ve been told devastating lies about mental health | Sanah Ahsan

""recent research concluded that depression is not caused by a chemical imbalance of the brain.""

I also think that (not pointing a finger at you personally) social media has made people have a short attention span. People are always checking their phones, posting short and quick responses all the time. There is a lack of depth to conversations. Perhaps that is causing people to be diagnosed with issues that they wouldn't have had if they didn't use that tech so much. Things like this back up my thoughts:
Click to expand...
Oh yeah! I totally agree with you! My smart phone, as convenient and enjoyable as it is, has RUINED my attention span and any form of delayed gratification! I'm so glad that there was no internet at all until I was 18-19, and I didn't get my first smart phone until 2014 or something, when I was already 35-36. I have no idea how 2 year olds who right now are tapping away on their own iPads are EVER going to be...how we were. REAL? I don't know.

In terms of the benzos, I'm aware they've made me more distractable, more vague, less alert or astute at times. It's not ideal, but still better than not having them. I couldn't deal with that anxiety anymore.

In terms of my lifestyle, I sleep most of the day as I don't enjoy anything so I don't want to get up earlier than necessary. I stay up very late because I am more relaxed at night time and it's the only time I get alone to myself, after my partner goes to bed. So I'm basically giving myself a form of jetlag. I also don't eat in the day, even if I am up earlier. I have no appetite at all.

I have no routine. No real obligations. My brain is floating...in inertia. Most of the time I don't know what day it is or what week of the month it is. It takes me a few seconds to remember, and that's mostly from recalling what I watched on TV the night before.

All THIS is why I exhibit some symptoms of inattentive ADHD.","6,594",ADHD_Forum
189,Holly1985,Former member,"Hey everyone, I hope you're all well!

I've been diagnosed with anxiety and depression for a number of years now. I've been taking the prescribed medication by the doctors and I feel OK. But I just feel like something is wrong with me! I can't switch off my thoughts, so it effect my sleep. I'm so indecisive..to the point where me and my partner argue about it. I have a very short fuse, I get irritated very easily I.e if I have to wait around for someone when I'm ready to go. I like to self harm, then I moan that I am sore haha! I'm a binge eater when sad/angry/ill

I've been doing some online research and I've found that alot of my symptoms point to ADHD. I have a doctors appointment next week to discuss my concerns but I'm very worried about how to approach it with my doctor.

Any tips or advice will be very much appreciated 😊

Thanks x",,ADHD_Forum
190,BenTay84,New member,"Hi
I have my ADHD assessment on Friday after waiting for nearly 2 years! I have had quite a few negative experiences with my mental health team so in desperation I emailed an extensive list of my symptoms to my GP as I could no way explain them all in a 10 minute appointment! It was after reading my list that my GP referred me to the adult ADHD team, I was screened 12 weeks later and put forward for the full diagnostic ADHD assessment. I found sending in the list relieved a lot of pressure for me, as I knew that trying to cram everything into a 10 minute appointment would only heighten my anxiety and I would forget to mention important points. I think it would definitely help you when you have your appointment to ask your GP if you could send in a list of all of your symptoms. I hope this helps. Good luck with your appointment.",1,ADHD_Forum
191,Kaylaj0927,New member,hi everyone I'm new to the group I suffer from adhd bipolar and serve depression and anger outburst.. i have been going through this since I was 10. It's getting worse the older I get (27) idk how to control and EVERYONE IS BEGINNING TO SEE MORE AND MORE,1,ADHD_Forum
192,MissTT85,Well-known member,Welcome to the group kayla,346,ADHD_Forum
193,UFOLightsOut77,Well-known member,"Sometimes, my parents - especially my mom - will treat me like a kid and tell me I can't do certain things just because I have autism - not necessarily overtly, mind you - and I'm sick of it. I mean, I'm 33, and I have a good job that I go to every week and do very well at, I can drive by myself, I run three Meetup groups outside of work, I can take care of my own cooking, cleaning, hygiene, sleep and other such adult health stuff, I have a group of friends whom I hang out with, I can hold a good conversation, I'm a good writer, I try to stay on top of my finances, I'm extremely good at keeping appointments, I exercise regularly, I tend to obey the law, I behave politely towards others unless they provoke me, I'm very intelligent, I don't needlessly follow trends...in short, I'm fiercely independent and successful in spite of my autism, and even if there are things that I have trouble with, I do my own research so I can either do it properly or at the very least have someone do it for me. Hell, if I wanted to, I could probably run the whole world. I just don't get why people have to tell me ""can't"".

Anyone else have similar experiences?",110,Autism_and_Mental_Health_Forum
194,6FTUNDER,Active member,"Wow! I tip my hat to your sir!
So nice to hear this and what you have achieved with work and sorting yourself regarding independent living. Give me hope for my autistic cousin. Unfortunately wether you are or aren’t autistic parents can be over protective. I have lived with my parents all my life (to many years to mention), they have questioned why I have paid £150 for a picture, £900 on a 4K TV, why I didn’t get back from the cinema at 2am.
My answer was “what’s it go to do with you? I am in my 30’s. I didn’t realise I have to give you my itinerary for that days events.” So next time I did just that.

9am - Wake up, go to loo (photos attached)
9:30am - Shower + Shave. S**T please see above.
10am - Breakfast (Cornflakes 148 flakes in cereal bowl)
10:15am - Watch TV until time to get ready to go out. Various Shows
2pm - Lunch, crisp sandwich (Chicken Flavour)
2:15pm - Play a bit of Xbox with friends and confirm cinema times and meeting up location.
6pm - Got changed to go out, (then listed everything I was wearing)
7:30pm Meet friends at cinema.

You get the drift. But they have been protecting you for so long it is probably a strange feeling and worrying for them to let go. Do you ever go away with friends for a weekend or a weeks vacation? Perhaps you need to if you don’t and prove you will be safe. It can be very frustrating for you and your parents. The only thing is to sit down and talk it through. Best of luck! 👍🏻👍🏻",44,Autism_and_Mental_Health_Forum
195,PurpleRon,Member,"I was diagnosed with autism three months ago and to be honest knowing has made me feel worse or maybe it’s my therapist that’s not helped as she’s made me aware of the issues I have which relate to autism.

I suffer from overstimulation and autistic burnout, when I go out I can’t stay out long because then I burn out and I’m not safe as I can’t function I can’t concentrate and I couldn’t get home safely or cross roads. Many things trigger me including having a shower because of the feeling the shower makes when it hits my skin. Truth is I rarely leave my bedroom anymore and I struggle to trust other people and ever since my mum passed away I’ve felt like I’ve given up and I’m waiting to die. I am glad that I decided to never have any children I couldn’t even have them if I wanted to since my surgery out an end to that possibility, I just think I would pass my autism on to a child and I wouldn’t want them to suffer as badly as I have. I lost my education because my father pulled me out of school early and went on the run from the authorities rather than get me help. I’ve achieved not much in life because I can’t concentrate for long and I find it difficult to have relationships with anyone. I’m surprised my partner puts up with me keep going off the rails and having breakdowns where I can’t talk or do anything other than shoring out random things that don’t make any sense (mainly noises) because I can’t get words out. I feel pretty useless",7,Autism_and_Mental_Health_Forum
196,Zoe1,Well-known member,Hi Ron hope you find it helpful here,"25,986",Autism_and_Mental_Health_Forum
197,Zoe1,Well-known member,"If you're feeling like you want to die, or you have been affected by the contents of this thread, its important to tell someone.

Help and support is available right now if you need it. You do not have to struggle with difficult feelings alone.

Phone a helpline

These free helplines are there to help when you're feeling down or desperate.

You can also call these helplines for advice if you’re worried about someone else.

In the UK and Ireland, call the Samaritans on 116123.
In the US, call the National Suicide Prevention Lifeline on 1-800-273-8255 or 988.
In Canada, call the Suicide Prevention Service on 1.833.456.4566.
In Australia, call Lifeline on 131114.
In New Zealand, call Need to Talk on 1737 or 080017371737.
For other countries please visit this list of crisis helplines.

Useful information

The Forum's page on getting help may also be useful to you. Here is a link to it Mental Health Forum - Getting Help

Here is a link to an article on Suicidal Crisis written by one of the Admin team which you may find helpful Suicidal Crisis

Emergency help

If you are in immediate danger, please call your local emergency number (in the UK call 999, in the USA or Canada call 911, in Australia call 000 and in New Zealand call 111 or call the interna","25,986",Autism_and_Mental_Health_Forum
198,gaandu,Member,"I've these few problems(I've not included the previous problems, only the remaining problems. BPD was the problem of my past but it's under control with medicine.):

1) Can't do eye contact with anyone.

2) I feel ""fear(or something"" to visit big stores or anything that looks fancy.

3) I feel I'm very inferior to others, even 5 year olds or 50 year olds, because I can't do things that others can do. Eg: living independently, moving abroad from my country, travelling, navigating , driving etc.

4) I don't want to face people. I want to face them as little as possible.

5) I am scared to do any jobs(because of social interactions there even if it's a tiny social interaction) at all. And neither do I like remote jobs. Even remote jobs require video callings and I can't do that eye to eye contact.

I'm 24. I've been medicating with a doctor since 2 years. Even before that I've been to few other doctors for 2 years. Nothing improves in this aspect, other aspects have indeed improved(I've mentioned at the end).

The doctors here in Nepal don't tell what problem you've. But it sounds like something between autism, bipolar disorder and schizophrenia.

These are the medications I'm using atm.

1)Divalproex sodium extended release tablets IP 500mg

2) Aripiprazole Tablets IP 15 mg

3) Quetiapine tablets IP (it's for sleeping only afaik)

Based on the research, this(Autism) can't be cured. In my experience of 4 years of treatment, I've came to a point that most mental health disorders can't be cured totally. If you get any mental health issues, you're most likely done for life. The doctors I've visited latter is the most renowned doctors of Nepal and I've full trust in their treatment. My internal mechanism has been cured, like dopamine is high, motivation is high, I'm more curios, I'm not depressed even if my life is this bad anymore. But sometimes I remember all these shitty stuffs and I'm scared of my future as well. Like How do I live without doing a job? And social life afterwards, then marriage; will anyone (forget decent or worst) want to marry to an autistic? Why should I ruin their life? And social life afterwards as well. Staying in Nepal makes things even more worse as Nepal is highly social country and being social is seemed as a success.


Please suggest best course of treatment for me. I by now know People like me are unlucky and can't be cured at all. But still if there's a ray of hope, please share some. I really don't think changing doctors will bring any output now as I'm already doing well to what extent I believe I can do well. I won't lie that I'm suicidal now. Because that's best course of action that I can take.",24,Autism_and_Mental_Health_Forum
199,goodgollymiss,Well-known member,"Nepal is beautiful. Have you seen the start of the ganges or mt everest. I have struggled with university. What helped me was trying to learn languages, cooking, praying. But im not good at religion. Maybe you could make prayer poems. Has your doctor given you a nutritionist. Diet can help the mind","1,201",Autism_and_Mental_Health_Forum
200,PsychoticPotato,Well-known member,"You're right, autism can't be cured. Science tells us it's a neuro developmental condition that you're born with. You are not broken or disordered when it comes to autism, your brain simply works in a different way to the majority of people, and trying to live like a neurotypical can lead to pretty bad outcomes.

Can you think of any positives about being autistic? Since it's something you can't change, it might be a good idea to gently try and reframe how you think about it. The more comfortable you are with who you are, the easier life will be. Sending hugs",151,Autism_and_Mental_Health_Forum
201,Thatmentalchick,Active member,i wanna go get a assessment my therapist thinks I’m on the spectrum and so do I but I was curious if anyone thinks it worth it or not by the list of symptoms I experience hope this is not a stupid question,25,Autism_and_Mental_Health_Forum
